id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
1;Papusarul din Cracovia;R.M.Ramero;kids;PAPERBACK;315;FINALIZATA;https://cdn4.libris.ro/img/pozeprod/1252/1252000-1.jpg;1.0;2022-02-21;2022-02-28;4.0;Holocaust
2;Orasul Semilunii. Casa Pamantului si a Sangelui;Sarah J. Maas;fantasy;PAPERBACK;0;FINALIZATA;null;1.0;2022-02-21;2022-02-28;5.0;crime and fun
3;Reteaua Alice;Kate Quinn;fiction;PAPERBACK;363;FINALIZATA;null;1.0;2022-04-05;2022-04-11;5.0;spioni
4;Caietul cu nume pierdute;Sofia Lundberg;fiction;PAPERBACK;207;FINALIZATA;null;1.0;2022-07-11;2022-07-11;4.0;viata unei batrane
5;Sora mea, Summer;Monica Sabolo;fiction;PAPERBACK;174;FINALIZATA;null;1.0;2021-05-22;2021-05-28;4.0;fata disparuta
6;Pacientul;Jasper DeWitt;thriller;PAPERBACK;183;FINALIZATA;https://cdn4.libris.ro/img/pozeprod/21006/21005362-2.jpg;1.0;2021-09-18;2021-09-24;4.0;pacient la spital de psihiatrie
7;Fata Anonima;Greer Hendricks, Sarah Pekkanen;thriller;PAPERBACK;475;FINALIZATA;null;1.0;2022-06-01;2022-06-02;4.0;o doctorita ii nebuna dupa sotul ei
8;Casa Bantuita;Shirley Jackson;horror;PAPERBACK;176;FINALIZATA;null;1.0;2020-08-06;2021-08-13;4.0;un studiu la o casa bantuita
9;Haunting Adeline;H. D. Carlton;mystery;PAPERBACK;640;FINALIZATA;null;1.0;2024-09-26;2024-09-29;5.0;smut
10;Casa de Vacanta;Jorn Lier Horst;thriller;PAPERBACK;384;FINALIZATA;null;1.0;2022-06-05;2022-06-06;4.0;crime, oameni prosti
11;Minti Primejdioase;Alexandra Bracken;fiction;PAPERBACK;536;FINALIZATA;null;1.0;2021-11-24;2021-11-29;5.0;copii cu superputeri
12;Niciodata Induplecate;Alexandra Bracken;YA;PAPERBACK;576;FINALIZATA;null;1.0;2021-12-18;2021-12-20;5.0;copii cu superputeri
14;Cotloane Intunecate;Ruth Rendell;thriller;PAPERBACK;263;FINALIZATA;null;1.0;2023-08-23;2023-09-16;2.0;dump ppl
15;Taramul Povestilor. Vraja Dorintelor;Chris Colfer;fantasy;PAPERBACK;0;FINALIZATA;null;1.0;2023-08-23;2023-09-16;4.0;copii in lumea basmelor
16;Taramul Povestilor. Intoarcerea Fermecatoarei;Chris Colfer;fantasy;PAPERBACK;0;FINALIZATA;null;1.0;2023-08-23;2023-09-16;4.0;copii in lumea basmelor
17;Trupuri divine;Guillermo C. Infante;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;revolutia din cuba
18;Cateva lucruri despre tine;Florin Irimia;biography;PAPERBACK;151;FINALIZATA;null;1.0;2020-08-01;2020-08-02;2.0;un tip care si uraste tatal
19;Secretul din Padurea Privighetorii;Lucy Strange;fiction;PAPERBACK;280;FINALIZATA;null;1.0;2021-09-25;2021-09-25;3.0;o fetita si o vrajitoare
20;Incepe cu ce nu ti place;Brain Tracy;;PAPERBACK;0;FINALIZATA;null;1.0;2021-09-25;2021-09-25;3.0;dezvoltare personala
21;The 100;Kass Morgan;SF;PAPERBACK;323;FINALIZATA;null;1.0;2022-09-11;2022-10-03;2.0;oamenii se intorc pe terra dupa 300 ani
22;Focurile din Tegel;Fabio Geda;fiction;PAPERBACK;179;FINALIZATA;null;1.0;2021-06-06;2021-06-15;4.0;copii dupa o epidemie care supravietuiesc cum pot
23;Zorii din Alexandre Platz;Fabio Geda;fiction;PAPERBACK;0;FINALIZATA;null;1.0;2021-06-06;2021-06-15;4.0;copii dupa o epidemie care supravietuiesc cum pot
24;Batalia din Groupius;Fabio Geda;fiction;PAPERBACK;0;FINALIZATA;null;1.0;2021-06-06;2021-06-15;4.0;copii dupa o epidemie care supravietuiesc cum pot
25;Lupii din Brandenburg;Fabio Geda;fiction;PAPERBACK;225;FINALIZATA;null;1.0;2022-03-25;2022-04-04;4.0;copii dupa o epidemie care supravietuiesc cum pot
26;Veronika se hotaraste sa moara;Paulo Coelho;romance;PAPERBACK;156;FINALIZATA;null;1.0;2022-02-14;2022-02-20;4.0;o tipa care vr sa moara dar nu mai moare
27;Rosslyn si Graalul;Mark Oxbrow, Ian Robertson;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
28;Codul lui Da Vinci;Dan Brown;action;PAPERBACK;488;FINALIZATA;null;1.0;2019-03-02;2019-05-30;5.0;un tip si o tipa au o calatorie pt a afla un secret
29;Daca as ramane;Gayle Forman;fiction;PAPERBACK;215;FINALIZATA;null;1.0;2022-02-08;2022-02-13;3.0;dupa un accident de masina nu stie dc sa moara sau sa mai traiasca
30;Baiatul cu pijamale in dungi;John Boyne;history;PAPERBACK;224;FINALIZATA;null;1.0;2022-04-23;2022-04-23;2.0;Holocaust
31;Curiosul caz a lui Origami Yoda;Tom Angleberger;;PAPERBACK;0;FINALIZATA;null;1.0;2022-04-23;2022-04-23;2.0;copii la scoala
32;Coraline;Neil Gaiman;;PAPERBACK;208;FINALIZATA;null;1.0;2018-08-06;2018-08-15;3.0;o fata cu o usa si o a doua dimensiune
33;The Girl On The Train;Paula Hawkins;;PAPERBACK;323;FINALIZATA;null;1.0;2022-07-12;2022-07-31;4.0;o alcoolica care ajutra la rezolvarea unei crime
34;Biletul de Loterie;Michael Byrne;;PAPERBACK;302;FINALIZATA;null;1.0;2019-09-30;2019-10-30;2.0;un orfan, homeless kid incearca sa obtina banii meritati
35;Julie din neamul lupilor;Jean C. George;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
36;Pax;Sara Pennypacker;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
37;Cartea Cimitirului;Neil Gaiman;;PAPERBACK;250;FINALIZATA;null;1.0;2017-08-12;2017-08-18;3.0;un copil traieste printre morti
38;Casa secretelor, v1;Chris Columbus, Ned Vizzini;;PAPERBACK;0;FINALIZATA;null;1.0;2017-08-12;2017-08-18;4.0;copii care intra in lumea povestilor
39;Casa secretelor, v2;Chris Columbus, Ned Vizzini;;PAPERBACK;0;FINALIZATA;null;1.0;2017-08-12;2017-08-18;4.0;copii care intra in lumea povestilor
40;Casa secretelor, v3;Chris Columbus, Ned Vizzini, Chris Rylander;;PAPERBACK;0;FINALIZATA;null;1.0;2017-08-12;2017-08-18;4.0;copii care intra in lumea povestilor
41;Punci cu porunci;Michael Ende;;PAPERBACK;232;FINALIZATA;null;1.0;2020-07-20;2020-08-22;3.0;
42;O bucla in timp;Madeleine L'Engle;;PAPERBACK;223;FINALIZATA;null;1.0;2020-08-25;2020-08-27;3.0;copii care isi cauta tatal
43;Sora mea, Ramona;Beverly Cleary;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
44;Pacostea de Ramona;Beverly Cleary;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
45;Ramona cea viteaza;Beverly Cleary;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
46;Minunea;R.J. Palacio;;PAPERBACK;0;ABANDONATA;null;0.0;2020-08-25;;0.0;
47;Cravata Rosie;Ji-li Jang;;PAPERBACK;236;FINALIZATA;null;1.0;2018-03-24;2018-03-27;3.0;revolutie in china
48;Trandafirii din Mexic;Pam Munoz Ryan;;PAPERBACK;191;FINALIZATA;null;1.0;2018-08-20;2019-08-23;3.0;o familie care traieste in mexic
49;O scurta istorie a lumii;Ernst H. Gombrich;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
50;Fetita cele de a sasea luni;Moony Witcher;;PAPERBACK;0;FINALIZATA;null;1.0;2018-08-20;2019-08-23;4.0;copii alchimisti
51;Nina si misterul notei a opta;Moony Witcher;;PAPERBACK;352;FINALIZATA;null;1.0;2017-03-20;2017-03-22;4.0;copii alchimisti
52;Nina si blestemul sarpelui cu pene;Moony Witcher;;PAPERBACK;0;FINALIZATA;null;1.0;2017-03-20;2017-03-22;4.0;copii alchimisti
53;Nina si ochiul secret al Atlantidei;Moony Witcher;;PAPERBACK;0;FINALIZATA;null;1.0;2017-03-20;2017-03-22;4.0;copii alchimisti
54;Nina si numarul de aur;Moony Witcher;;PAPERBACK;384;FINALIZATA;null;1.0;2022-04-12;2022-04-13;2.0;copii alchimisti
55;Umbrela Rosie;Christina Diaz Gonzalez;;PAPERBACK;389;FINALIZATA;null;1.0;2019-08-10;2019-09-25;3.0;revolutie in cuba
56;Domnul Treput cade din nou;Rob Buyne;;PAPERBACK;0;ABANDONATA;null;0.0;2019-08-10;;0.0;
57;Fantoma din Canterville;Oscar Wilde;;PAPERBACK;0;FINALIZATA;null;1.0;2019-08-10;2019-09-25;2.0;o fantoma dintr un conac
58;Cel mai mult si mai mult;***;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
59;Ursul si privighetoarea;Katherine Arden;fantasy;PAPERBACK;387;FINALIZATA;null;1.0;2023-08-19;2023-08-20;4.0;
60;Stapanul Viselor. Cosmarul;Theresa Breslin;;PAPERBACK;0;FINALIZATA;null;1.0;2023-08-19;2023-08-20;1.0;vise, cva copii, vikingi
61;Insula delfinilor;Scott O'Dell;;PAPERBACK;0;FINALIZATA;null;1.0;2023-08-19;2023-08-20;4.0;copii uitati pe o insula
